id_instalacion,tipo_instalacion,capacidad_instalacion,nombre_puerto,ciudad_puerto,region_puerto,rut_jefe,,
134,astillero,3,Mejillones,Mejillones,Antofagasta,49628420-8,,
210,muelle,3,Caleta Coloso,Antofagasta,Antofagasta,22249624-1,,
185,muelle,2,Calderilla,Caldera,Atacama,79725852-0,,
27,muelle,3,Mejillones,Mejillones,Antofagasta,84327091-3,,
213,astillero,1,Antofagasta,Antofagasta,Antofagasta,13370165-6,,
140,astillero,1,Arica,Arica,Arica y Parinacota,88732812-9,,
164,astillero,2,Quintero,Quintero,Valparaiso,75397524-1,,
60,astillero,3,Quintero,Quintero,Valparaiso,54121962-5,,
115,muelle,1,Penco,Penco,Biobio,89477804-0,,
129,muelle,1,Isla Guarello,Isla Guarello,Magallanes y de la Antartica chilena,40161573-3,,
203,astillero,1,Barquito,Cha̱aral,Atacama,75129314-3,,
171,muelle,3,Chacabuco,Aysen,Aysen del General Carlos Iba̱ez del Campo,94559048-3,,
65,muelle,1,Caleta Coloso,Antofagasta,Antofagasta,14585428-8,,
101,astillero,1,La Serena,La Serena,Coquimbo,35414863-3,,
48,astillero,1,Caldera,Caldera,Atacama,37285914-8,,
133,astillero,3,Caleta Coloso,Antofagasta,Antofagasta,48996426-0,,
31,astillero,3,Quintero,Quintero,Valparaiso,90471139-k,,
148,muelle,3,Punta Arenas,Punta Arenas,Magallanes y de la Antartica chilena,97163657-2,,
25,astillero,1,Arica,Arica,Arica y Parinacota,50814284-6,,
102,muelle,1,Ancud,Ancud,Los Lagos,88107942-9,,
47,astillero,3,Quintero,Quintero,Valparaiso,90730270-9,,
201,astillero,1,Talcahuano,Talcahuano,Biobio,52258791-5,,
200,muelle,1,Quemchi,Quemchi,Los Lagos,78413522-5,,
135,astillero,1,Punta Arenas,Punta Arenas,Magallanes y de la Antartica chilena,48269008-4,,
100,astillero,2,Talcahuano,Talcahuano,Biobio,34996262-4,,
1,muelle,1,Arica,Arica,Arica y Parinacota,92060023-9,,
59,muelle,3,Barquito,Cha̱aral,Atacama,75910499-4,,
146,astillero,2,Guayacan,Coquimbo,Coquimbo,75020925-4,,
84,muelle,2,Quellon,Quellon,Los Lagos,35155157-7,,
78,muelle,1,Calderilla,Caldera,Atacama,45026733-3,,
72,astillero,3,Guayacan,Coquimbo,Coquimbo,72018152-5,,
193,muelle,1,Iquique,Iquique,Tarapaca,93591226-1,,
79,astillero,2,Arica,Arica,Arica y Parinacota,92244003-4,,
139,astillero,1,Mejillones,Mejillones,Antofagasta,40597717-6,,
3,muelle,2,Quintero,Quintero,Valparaiso,27626683-7,,
74,astillero,1,Mejillones,Mejillones,Antofagasta,47121914-2,,
36,astillero,1,San Antonio,San Antonio,Valparaiso,58963604-k,,
147,muelle,2,Valparaiso,Valparaiso,Valparaiso,37376941-k,,
11,muelle,2,Lota,Lota,Biobio,70366259-5,,
212,muelle,2,Mejillones,Mejillones,Antofagasta,56405384-8,,
0,muelle,3,Taltal,Taltal,Antofagasta,35115737-2,,
41,astillero,2,Arica,Arica,Arica y Parinacota,23686910-5,,
137,astillero,2,Cabo Negro,Primavera,Magallanes y de la Antartica chilena,37780063-k,,
198,muelle,1,Antofagasta,Antofagasta,Antofagasta,71316667-7,,
108,astillero,1,Ancud,Ancud,Los Lagos,25919808-9,,
209,astillero,1,Lota,Lota,Biobio,80558312-6,,
182,astillero,3,Antofagasta,Antofagasta,Antofagasta,58812264-6,,
7,astillero,2,Puerto Angamos,Mejillones,Antofagasta,59749734-2,,
109,astillero,2,La Serena,La Serena,Coquimbo,12205074-2,,
14,muelle,2,Corral,Corral,Los Rios,45624249-9,,
165,muelle,1,Caldera,Caldera,Atacama,67902197-4,,
24,muelle,3,Barquito,Cha̱aral,Atacama,59129614-0,,
143,astillero,3,Puerto Montt,Puerto Montt,Los Lagos,37630974-6,,
176,astillero,3,Quellon,Quellon,Los Lagos,77484278-0,,
154,muelle,1,Quemchi,Quemchi,Los Lagos,49641463-2,,
89,muelle,1,Puerto Natales,Puerto Natales,Magallanes y de la Antartica chilena,56744324-8,,
202,astillero,2,Cruz Grande,La Higuera,Coquimbo,91346186-k,,
141,muelle,2,Quintero,Quintero,Valparaiso,58648727-2,,
96,muelle,3,Guayacan,Coquimbo,Coquimbo,81203114-7,,
208,muelle,2,Valparaiso,Valparaiso,Valparaiso,68147125-1,,
87,astillero,1,Isla Guarello,Isla Guarello,Magallanes y de la Antartica chilena,80640357-1,,
180,astillero,3,Lirquen,Penco,Biobio,92946711-6,,
118,muelle,2,Port Williams,Puerto Williams,Magallanes y de la Antartica chilena,54546935-9,,
196,muelle,1,Balmaceda,Cisnes,Aysen del General Carlos Iba̱ez del Campo,93176945-6,,
194,muelle,1,Cruz Grande,La Higuera,Coquimbo,54593722-0,,
155,muelle,3,Barquito,Cha̱aral,Atacama,64501886-9,,
130,muelle,3,Ancud,Ancud,Los Lagos,26135720-8,,
95,muelle,3,Puerto Chacabuco,Aysen,Aysen del General Carlos Iba̱ez del Campo,33461512-k,,
23,muelle,3,Mejillones,Mejillones,Antofagasta,38578737-5,,
67,astillero,3,Port Williams,Puerto Williams,Magallanes y de la Antartica chilena,58038177-4,,
16,muelle,2,Caldera,Caldera,Atacama,87624695-3,,
157,astillero,2,Lota,Lota,Biobio,78301240-5,,
4,astillero,1,Caleta Patillos,Iquique,Tarapaca,20789297-1,,
170,muelle,1,Coronel,Coronel,Biobio,58378678-3,,
110,astillero,1,Puerto Angamos,Mejillones,Antofagasta,29637564-0,,
15,astillero,1,Guayacan,Coquimbo,Coquimbo,31359212-k,,
40,muelle,3,Caleta Patillos,Iquique,Tarapaca,23494123-2,,
55,muelle,3,Mejillones,Mejillones,Antofagasta,31194216-6,,
179,astillero,3,Puerto Angamos,Mejillones,Antofagasta,15795964-6,,
32,astillero,2,Quellon,Quellon,Los Lagos,25450277-4,,
52,muelle,1,Quintero,Quintero,Valparaiso,61993529-2,,
117,astillero,2,Coronel,Coronel,Biobio,89751595-4,,
211,muelle,1,Corral,Corral,Los Rios,52792841-9,,
86,muelle,3,Cabo Negro,Primavera,Magallanes y de la Antartica chilena,95423202-6,,
8,astillero,1,Caldera,Caldera,Atacama,38629675-8,,
37,muelle,3,Valdivia,Valdivia,Los Rios,25696685-9,,
94,astillero,2,Huasco,Huasco,Atacama,60727093-7,,
168,astillero,2,Caleta Patillos,Iquique,Tarapaca,57181678-4,,
119,muelle,1,Cruz Grande,La Higuera,Coquimbo,59105378-7,,
204,muelle,1,Ancud,Ancud,Los Lagos,10927357-0,,
136,astillero,1,Mejillones,Mejillones,Antofagasta,91957637-5,,
19,muelle,2,Cruz Grande,La Higuera,Coquimbo,50942616-3,,
81,muelle,3,Castro,Castro,Los Lagos,69767927-8,,
45,astillero,3,Guayacan,Coquimbo,Coquimbo,52698782-9,,
114,muelle,1,Puerto Angamos,Mejillones,Antofagasta,82533150-6,,
71,muelle,1,Caleta Patillos,Iquique,Tarapaca,23711490-6,,
177,muelle,1,La Serena,La Serena,Coquimbo,44973013-5,,
42,muelle,3,Cruz Grande,La Higuera,Coquimbo,21016824-9,,
138,muelle,2,Puerto Angamos,Mejillones,Antofagasta,44604413-3,,
39,muelle,1,Calderilla,Caldera,Atacama,43329730-k,,
58,astillero,3,Taltal,Taltal,Antofagasta,67314332-6,,
75,astillero,1,Quintero,Quintero,Valparaiso,34823992-9,,
167,astillero,1,Port Williams,Puerto Williams,Magallanes y de la Antartica chilena,81881771-1,,
145,muelle,2,San Vicente,San Vicente,O'Higgins,40644356-6,,
113,astillero,2,Coronel,Coronel,Biobio,46805723-9,,
131,astillero,1,Calderilla,Caldera,Atacama,30991735-9,,
54,muelle,2,Puerto Montt,Puerto Montt,Los Lagos,79348268-k,,
123,muelle,2,Quintero,Quintero,Valparaiso,97632307-6,,
127,muelle,1,Chacabuco,Aysen,Aysen del General Carlos Iba̱ez del Campo,15955355-8,,
63,astillero,3,Lota,Lota,Biobio,26249833-6,,
175,muelle,1,La Serena,La Serena,Coquimbo,24927693-6,,
30,astillero,2,Lirquen,Penco,Biobio,45856781-6,,
50,astillero,2,Lota,Lota,Biobio,46531952-6,,
156,muelle,2,Balmaceda,Cisnes,Aysen del General Carlos Iba̱ez del Campo,42494071-2,,
112,astillero,2,Ancud,Ancud,Los Lagos,38100857-6,,
29,astillero,3,Calderilla,Caldera,Atacama,54122700-8,,
159,astillero,3,Chacabuco,Aysen,Aysen del General Carlos Iba̱ez del Campo,17341224-k,,
214,astillero,3,Guayacan,Coquimbo,Coquimbo,66714421-3,,
188,muelle,1,Huasco,Huasco,Atacama,60747994-1,,
98,muelle,3,Isla de Pascua,Hanga Roa,Valparaiso,99837067-1,,
187,astillero,1,Lota,Lota,Biobio,70433997-6,,
97,muelle,1,Puerto Angamos,Mejillones,Antofagasta,60926655-4,,
93,astillero,2,Puerto Montt,Puerto Montt,Los Lagos,44372095-2,,
163,muelle,3,Cabo Negro,Primavera,Magallanes y de la Antartica chilena,71389826-0,,
51,astillero,2,Barquito,Cha̱aral,Atacama,44626695-0,,
99,astillero,3,Tocopilla,Tocopilla,Antofagasta,92390198-1,,
80,muelle,1,Caldera,Caldera,Atacama,50319391-4,,
85,muelle,2,Penco,Penco,Biobio,65485230-8,,
6,astillero,2,Puerto Angamos,Mejillones,Antofagasta,53281073-6,,
161,muelle,3,Isla de Pascua,Hanga Roa,Valparaiso,83029887-8,,
197,astillero,1,Caleta Patillos,Iquique,Tarapaca,13947632-8,,
9,astillero,1,Antofagasta,Antofagasta,Antofagasta,64367868-3,,
90,muelle,3,Taltal,Taltal,Antofagasta,32153494-5,,
107,muelle,3,Penco,Penco,Biobio,12957899-8,,
189,astillero,3,Huasco,Huasco,Atacama,32086803-3,,
57,astillero,3,Coronel,Coronel,Biobio,76762441-7,,
44,astillero,1,Calderilla,Caldera,Atacama,18984900-1,,
61,muelle,2,Arica,Arica,Arica y Parinacota,42714709-6,,
20,muelle,2,Chacabuco,Aysen,Aysen del General Carlos Iba̱ez del Campo,96828461-4,,
17,muelle,1,Tocopilla,Tocopilla,Antofagasta,73454838-3,,
215,muelle,2,Chacabuco,Aysen,Aysen del General Carlos Iba̱ez del Campo,60456055-1,,
38,astillero,2,Lirquen,Penco,Biobio,37797879-k,,
12,muelle,1,Calderilla,Caldera,Atacama,82254885-7,,
162,muelle,2,Arica,Arica,Arica y Parinacota,70551235-3,,
206,muelle,2,Arica,Arica,Arica y Parinacota,45273848-1,,
181,astillero,3,Cabo Negro,Primavera,Magallanes y de la Antartica chilena,11123767-0,,
111,astillero,1,Valparaiso,Valparaiso,Valparaiso,41325900-2,,
53,astillero,2,Arica,Arica,Arica y Parinacota,91258242-6,,
76,astillero,3,Corral,Corral,Los Rios,10537138-1,,
186,muelle,3,Barquito,Cha̱aral,Atacama,35806868-5,,
2,muelle,3,Cabo Negro,Primavera,Magallanes y de la Antartica chilena,89265324-0,,
26,muelle,3,La Serena,La Serena,Coquimbo,15333675-k,,
66,astillero,3,Taltal,Taltal,Antofagasta,34975310-3,,
149,muelle,1,Antofagasta,Antofagasta,Antofagasta,29004298-4,,
68,muelle,3,Isla Guarello,Isla Guarello,Magallanes y de la Antartica chilena,48592540-6,,
124,muelle,3,Tocopilla,Tocopilla,Antofagasta,80228379-2,,
83,astillero,1,Caleta Coloso,Antofagasta,Antofagasta,41966463-4,,
166,astillero,2,Calderilla,Caldera,Atacama,84593882-2,,
92,muelle,3,Cruz Grande,La Higuera,Coquimbo,49552236-9,,
172,muelle,3,Huasco,Huasco,Atacama,28673876-1,,
142,muelle,2,Taltal,Taltal,Antofagasta,12177977-3,,
64,muelle,1,Caleta Coloso,Antofagasta,Antofagasta,48007583-8,,
5,muelle,1,Caleta Coloso,Antofagasta,Antofagasta,19410523-1,,
104,astillero,3,Coronel,Coronel,Biobio,22150901-3,,
190,muelle,3,Port Williams,Puerto Williams,Magallanes y de la Antartica chilena,95711978-6,,
120,muelle,1,Guayacan,Coquimbo,Coquimbo,66976509-6,,
33,astillero,3,Puerto Montt,Puerto Montt,Los Lagos,88408240-4,,
70,astillero,2,Coronel,Coronel,Biobio,12969098-4,,
128,astillero,3,San Antonio,San Antonio,Valparaiso,53383454-k,,
169,astillero,2,San Vicente,San Vicente,O'Higgins,14495790-3,,
69,astillero,2,Caleta Patillos,Iquique,Tarapaca,16943787-4,,
205,muelle,2,Quintero,Quintero,Valparaiso,42868972-0,,
151,muelle,2,Puerto Montt,Puerto Montt,Los Lagos,76362168-5,,
62,muelle,1,Calderilla,Caldera,Atacama,36600416-5,,
43,astillero,2,Coronel,Coronel,Biobio,99302343-4,,
22,muelle,2,Quellon,Quellon,Los Lagos,83330704-5,,
132,muelle,2,Chacabuco,Aysen,Aysen del General Carlos Iba̱ez del Campo,54363208-2,,
35,astillero,3,Arica,Arica,Arica y Parinacota,41775238-2,,
150,muelle,2,Chacabuco,Aysen,Aysen del General Carlos Iba̱ez del Campo,53087333-1,,
73,muelle,1,Guayacan,Coquimbo,Coquimbo,88667817-7,,
126,astillero,2,Punta Patache,Iquique,Tarapaca,41659296-9,,
195,astillero,3,Punta Patache,Iquique,Tarapaca,17611254-9,,
106,muelle,2,Punta Arenas,Punta Arenas,Magallanes y de la Antartica chilena,98661210-6,,
178,muelle,2,Isla Guarello,Isla Guarello,Magallanes y de la Antartica chilena,24655915-5,,
152,muelle,2,San Vicente,San Vicente,O'Higgins,69691126-6,,
199,muelle,1,Quellon,Quellon,Los Lagos,90494178-6,,
158,astillero,1,Taltal,Taltal,Antofagasta,96213582-k,,
49,astillero,2,Lota,Lota,Biobio,14408869-7,,
121,muelle,2,Ancud,Ancud,Los Lagos,70368495-5,,
122,astillero,3,Penco,Penco,Biobio,18902520-3,,
